scenario_id,timestamp_min,image_path,surface_temperature_mean,surface_temperature_max,hotspot_area,hotspot_x,hotspot_y,hotspot_present
S01,0,data/thermal/S01/t000.png,29.99,31.32,0,,,0
S01,1,data/thermal/S01/t001.png,30.01,31.44,0,,,0
S01,2,data/thermal/S01/t002.png,30.01,31.58,0,,,0
S01,3,data/thermal/S01/t003.png,29.99,31.26,0,,,0
S01,4,data/thermal/S01/t004.png,30.0,31.38,0,,,0
S01,5,data/thermal/S01/t005.png,30.01,31.51,0,,,0
S01,6,data/thermal/S01/t006.png,30.0,31.39,0,,,0
S01,7,data/thermal/S01/t007.png,30.02,31.58,0,,,0
S01,8,data/thermal/S01/t008.png,30.0,31.47,0,,,0
S01,9,data/thermal/S01/t009.png,30.0,31.64,0,,,0
S01,10,MISSING,30.0,31.5,0,,,0
S01,11,data/thermal/S01/t011.png,30.01,31.41,0,,,0
S01,12,data/thermal/S01/t012.png,29.99,31.25,0,,,0
S01,13,data/thermal/S01/t013.png,29.99,31.23,0,,,0
S01,14,data/thermal/S01/t014.png,30.01,31.6,0,,,0
S01,15,data/thermal/S01/t015.png,30.01,31.34,0,,,0
S01,16,data/thermal/S01/t016.png,29.99,31.3,0,,,0
S01,17,data/thermal/S01/t017.png,30.01,31.47,0,,,0
S01,18,data/thermal/S01/t018.png,30.01,31.41,0,,,0
S01,19,data/thermal/S01/t019.png,30.01,31.33,0,,,0
S01,20,data/thermal/S01/t020.png,30.02,31.41,0,,,0
S01,21,data/thermal/S01/t021.png,30.0,31.44,0,,,0
S01,22,data/thermal/S01/t022.png,30.01,31.55,0,,,0
S01,23,data/thermal/S01/t023.png,30.0,31.38,0,,,0
S01,24,data/thermal/S01/t024.png,30.02,31.49,0,,,0
S01,25,data/thermal/S01/t025.png,30.0,31.4,0,,,0
S01,26,data/thermal/S01/t026.png,30.01,31.44,0,,,0
S01,27,data/thermal/S01/t027.png,30.01,31.43,0,,,0
S01,28,data/thermal/S01/t028.png,30.01,31.36,0,,,0
S01,29,data/thermal/S01/t029.png,30.02,31.72,0,,,0
S01,30,data/thermal/S01/t030.png,30.02,31.48,0,,,0
